"title","abstract"
"Journal of medical entomology","Mosquitoes collected during an outbreak of Rift Valley fever in Kenya from December 2006 to February 2007 were tested to isolate other mosquito-borne arboviruses circulating in the region. Twenty-seven virus isolations were made comprising seven viruses from three arbovirus families."
"Epidemiology and infection","Expert opinion was elicited to undertake a qualitative risk assessment to estimate the current and future risks to the European Union (EU) from five vector-borne viruses listed by the World Organization for Animal Health. It was predicted that climate change will increase the risk of incursions of African horse sickness virus (AHSV), Crimean-Congo haemorrhagic fever virus (CCHFV) and Rift Valley fever virus (RVFV) into the EU from other parts of the world, with African swine fever virus (ASFV) and West Nile virus (WNV) being less affected. Currently the predicted risks of incursion were lowest for RVFV and highest for ASFV. Risks of incursion were considered for six routes of entry (namely vectors, livestock, meat products, wildlife, pets and people). Climate change was predicted to increase the risk of incursion from entry of vectors for all five viruses to some degree, the strongest effects being predicted for AHSV, CCHFV and WNV. This work will facilitate identification of appropriate risk management options in relation to adaptations to climate change."
"Virology journal","RVF live attenuated vaccine (Smithburn strain) was evaluated by using goats as experimental animal. The results indicate that this vaccine cause severe deleterious pathological changes in liver especially in kids and causing abortion in pregnant does. The virus was seen to be propagated inside hepatic cells forming intranuclear inclusions which was also seen by E.M. Viral antigens were detected in hepatic cells, gall bladder, endothelial lining of blood vessels, leukocytes, kidneys and heart by using immunoflourescent technique. It could be concluded that the use of live attenuated vaccine of RVF (Smithburn strain) for immunization of live stock is not safe in Egypt as it considered an endemic area."
"International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases",NA
"Transboundary and emerging diseases","Rift Valley fever (RVF) is an expanding zoonotic disease transmitted from ruminant to ruminant by Culicidae mosquitoes. In 2004, a longitudinal serological survey was performed on small ruminants in the Ferlo are (Senegal) to study RVF transmission and compared the results with those obtained from the same study in 2003. The results confirm that the disease is endemic and that the spatial transmission of RVF is highly heterogeneous. The virus could be maintained during dry season by transovarian transmission in Aedes vexans. Further studies are needed to improve the understanding of the epidemiological cycle of RVF in this region to implement adapted surveillance measures."
"Antiviral research","We report herein the identification of a small molecule therapeutic, FGI-106, which displays potent and broad-spectrum inhibition of lethal viral hemorrhagic fevers pathogens, including Ebola, Rift Valley and Dengue Fever viruses, in cell-based assays. Using mouse models of Ebola virus, we further demonstrate that FGI-106 can protect animals from an otherwise lethal infection when used either in a prophylactic or therapeutic setting. A single treatment, administered 1 day after infection, is sufficient to protect animals from lethal Ebola virus challenge. Cell-based assays also identified inhibitory activity against divergent virus families, which supports a hypothesis that FGI-106 interferes with a common pathway utilized by different viruses. These findings suggest FGI-106 may provide an opportunity for targeting viral diseases."
"Journal of virological methods","The aim of this study was to design and construct a non-virulent simulant to replace several pathogenic viruses in the development of detection and identification methods in biodefense. A non-infectious simulant was designed and engineered to include the nucleic acid signature of VEEV (Venezuelan Equine Encephalitis virus), Influenza virus, Rift Valley Fever virus, Machupo virus, Lassa virus, Yellow Fever virus, Ebola virus, Eastern Equine Encephalitis virus, Junin virus, Marburg virus, Dengue virus, and Crimean-Congo virus, all in a single construct. The nucleic acid sequences of all isolates available for each virus species were aligned using ClustalW software in order to obtain conserved regions of the viral genomes. Specific primers were designed to permit the identification and differentiation between viral threat agents. A chimera of 3143 base pairs was engineered to produce 13 PCR amplicons of different sizes. PCR amplification of the simulant with virus-specific primers revealed products of the predicted length, in bands of similar intensity, and without detectable unspecific products by electrophoresis analysis. The simulant described could reduce the need to use infectious viruses in the development of detection and diagnostic methods, and could also be useful as a non-virulent positive control in nucleic acid-based tests against biological threat agents."
"Geospatial health","This paper presents an analysis of the interaction between the various variables associated with Rift Valley fever (RVF) such as the mosquito vector, available hosts and rainfall distribution. To that end, the varying zones potentially occupied by mosquitoes (ZPOM), rainfall events and pond dynamics, and the associated exposure of hosts to the RVF virus by Aedes vexans, were analyzed in the Barkedji area of the Ferlo, Senegal, during the 2003 rainy season. Ponds were identified by remote sensing using a high-resolution SPOT-5 satellite image. Additional data on ponds and rainfall events from the Tropical Rainfall Measuring Mission were combined with in-situ entomological and limnimetric measurements, and the localization of vulnerable ruminant hosts (data derived from QuickBird satellite). Since ""Ae. vexans productive events"" are dependent on the timing of rainfall for their embryogenesis (six days without rain are necessary to trigger hatching), the dynamic spatio-temporal distribution of Ae. vexans density was based on the total rainfall amount and pond dynamics. Detailed ZPOM mapping was obtained on a daily basis and combined with aggressiveness temporal profiles. Risks zones, i.e. zones where hazards and vulnerability are combined, are expressed by the percentages of parks where animals are potentially exposed to mosquito bites. This new approach, simply relying upon rainfall distribution evaluated from space, is meant to contribute to the implementation of a new, operational early warning system for RVF based on environmental risks linked to climatic and environmental conditions."
"Journal of wildlife diseases","We investigated the relationship between prevalence and severity of clinical signs of Demodex cafferi infection in free-ranging African buffalo (Syncerus caffer) and other factors such as age, sex, pregnancy status, and concomitant infections with bovine tuberculosis (BTB), Rift Valley fever (RVF), and brucellosis (BA). Approximately half of 203 buffalo examined in this study had clinical signs of demodicosis (cutaneous nodules); younger age classes had the highest prevalence and severity of lesions (chi(2)=21.4, df=6, P=0.0015). Nodules were generally limited to the head and neck region, but in severe cases were present over the entire animal. We found no significant association between clinical severity of the Demodex infection and gender, pregnancy status, or infection with BTB, RVF, or BA."
"Preventive veterinary medicine","This paper describes the sensitivity and specificity of a commercial competitive ELISA for the detection of antibodies to Rift Valley fever virus (RVFV) from sera of French domestic ruminants. Field samples were collected from mainland France for the known-negative sera (cattle=191, goats=119, sheep=192) and from ruminants of a French overseas territory (Mayotte) for the known-positive sera. A cut-off value of 43% was determined for all species, achieving a sensitivity and specificity of 100% and a concordance of 100% with the species-specific threshold recommended by the manufacturer. Our results demonstrate that this ELISA may be a suitable diagnostic tool for disease surveillance programmes and import/export veterinary certification of French cattle, goats and sheep."
"Euro surveillance : bulletin Européen sur les maladies transmissibles = European communicable disease bulletin","Arboviruses are arthropod-borne viruses, which include West Nile fever virus (WNFV), a mosquito-borne virus, Rift Valley fever virus (RVFV), a mosquito-borne virus, and Crimean-Congo haemorrhagic fever virus (CCHFV), a tick-borne virus. These arthropod-borne viruses can cause disease in different domestic and wild animals and in humans, posing a threat to public health because of their epidemic and zoonotic potential. In recent decades, the geographical distribution of these diseases has expanded. Outbreaks of WNF have already occurred in Europe, especially in the Mediterranean basin. Moreover, CCHF is endemic in many European countries and serious outbreaks have occurred, particularly in the Balkans, Turkey and Southern Federal Districts of Russia. In 2000, RVF was reported for the first time outside the African continent, with cases being confirmed in Saudi Arabia and Yemen. This spread was probably caused by ruminant trade and highlights that there is a threat of expansion of the virus into other parts of Asia and Europe. In the light of global warming and globalisation of trade and travel, public interest in emerging zoonotic diseases has increased. This is especially evident regarding the geographical spread of vector-borne diseases. A multi-disciplinary approach is now imperative, and groups need to collaborate in an integrated manner that includes vector control, vaccination programmes, improved therapy strategies, diagnostic tools and surveillance, public awareness, capacity building and improvement of infrastructure in endemic regions."
"Journal of the American Veterinary Medical Association",NA
"Emerging infectious diseases","Distribution of Toscana virus (TOSV) is evolving with climate change, and pathogenicity may be higher in nonexposed populations outside areas of current prevalence (Mediterranean Basin). To characterize genetic diversity of TOSV, we determined the coding sequences of isolates from Spain and France. TOSV is more diverse than other well-studied phleboviruses (e.g.,Rift Valley fever virus)."
"Emerging infectious diseases","After the 2006-2007 epidemic wave of Rift Valley fever (RVF) in East Africa and its circulation in the Comoros, laboratory case-finding of RVF was conducted in Mayotte from September 2007 through May 2008. Ten recent human RVF cases were detected, which confirms the indigenous transmission of RFV virus in Mayotte."
"Virology","Rift Valley fever virus (RVFV; Bunyaviridae; Phlebovirus) is an emerging human and veterinary pathogen causing acute hepatitis in ruminants and has the potential to cause hemorrhagic fever in humans. We report a three-dimensional reconstruction of RVFV vaccine strain MP-12 (RVFV MP-12) by cryo-electron microcopy using icosahedral symmetry of individual virions. Although the genomic core of RVFV MP-12 is apparently poorly ordered, the glycoproteins on the virus surface are highly symmetric and arranged on a T=12 icosahedral lattice. Our RVFV MP-12 structure allowed clear identification of inter-capsomer contacts and definition of possible glycoprotein arrangements within capsomers. This structure provides a detailed model for phleboviruses, opens new avenues for high-resolution structural studies of the bunyavirus family, and aids the design of antiviral diagnostics and effective subunit vaccines."
"Journal of virology","Rift Valley fever virus (RVFV) continues to cause large outbreaks of acute febrile and often fatal illness among humans and domesticated animals in Africa, Saudi Arabia, and Yemen. The high pathogenicity of this bunyavirus is mainly due to the viral protein NSs, which was shown to prevent transcriptional induction of the antivirally active type I interferons (alpha/beta interferon [IFN-alpha/beta]). Viruses lacking the NSs gene induce synthesis of IFNs and are therefore attenuated, whereas the noninducing wild-type RVFV strains can only be inhibited by pretreatment with IFN. We demonstrate here in vitro and in vivo that a substantial part of the antiviral activity of IFN against RVFV is due to a double-stranded RNA-dependent protein kinase (PKR). PKR-mediated virus inhibition, however, was much more pronounced for the strain Clone 13 with NSs deleted than for the NSs-expressing strain ZH548. In vivo, Clone 13 was nonpathogenic for wild-type (wt) mice but could regain pathogenicity if mice lacked the PKR gene. ZH548, in contrast, killed both wt and PKR knockout mice indiscriminately. ZH548 was largely resistant to the antiviral properties of PKR because RVFV NSs triggered the specific degradation of PKR via the proteasome. The NSs proteins of the related but less virulent sandfly fever Sicilian virus and La Crosse virus, in contrast, had no such anti-PKR activity despite being efficient suppressors of IFN induction. Our data suggest that RVFV NSs has gained an additional anti-IFN function that may explain the extraordinary pathogenicity of this virus."
"PLoS pathogens","Rift Valley fever virus (RVFV) (genus Phlebovirus, family Bunyaviridae) is a negative-stranded RNA virus with a tripartite genome. RVFV is transmitted by mosquitoes and causes fever and severe hemorrhagic illness among humans, and fever and high rates of abortions in livestock. A nonstructural RVFV NSs protein inhibits the transcription of host mRNAs, including interferon-beta mRNA, and is a major virulence factor. The present study explored a novel function of the RVFV NSs protein by testing the replication of RVFV lacking the NSs gene in the presence of actinomycin D (ActD) or alpha-amanitin, both of which served as a surrogate of the host mRNA synthesis suppression function of the NSs. In the presence of the host-transcriptional inhibitors, the replication of RVFV lacking the NSs protein, but not that carrying NSs, induced double-stranded RNA-dependent protein kinase (PKR)-mediated eukaryotic initiation factor (eIF)2alpha phosphorylation, leading to the suppression of host and viral protein translation. RVFV NSs promoted post-transcriptional downregulation of PKR early in the course of the infection and suppressed the phosphorylated eIF2alpha accumulation. These data suggested that a combination of RVFV replication and NSs-induced host transcriptional suppression induces PKR-mediated eIF2alpha phosphorylation, while the NSs facilitates efficient viral translation by downregulating PKR and inhibiting PKR-mediated eIF2alpha phosphorylation. Thus, the two distinct functions of the NSs, i.e., the suppression of host transcription, including that of type I interferon mRNAs, and the downregulation of PKR, work together to prevent host innate antiviral functions, allowing efficient replication and survival of RVFV in infected mammalian hosts."
"Journal of virology","Rift Valley fever virus (RVFV) is a member of the genus Phlebovirus within the family Bunyaviridae. It is a mosquito-borne zoonotic agent that can cause hemorrhagic fever in humans. The enveloped RVFV virions are known to be covered by capsomers of the glycoproteins G(N) and G(C), organized on a T=12 icosahedral lattice. However, the structural units forming the RVFV capsomers have not been determined. Conflicting biochemical results for another phlebovirus (Uukuniemi virus) have indicated the existence of either G(N) and G(C) homodimers or G(N)-G(C) heterodimers in virions. Here, we have studied the structure of RVFV using electron cryo-microscopy combined with three-dimensional reconstruction and single-particle averaging. The reconstruction at 2.2-nm resolution revealed the organization of the glycoprotein shell, the lipid bilayer, and a layer of ribonucleoprotein (RNP). Five- and six-coordinated capsomers are formed by the same basic structural unit. Molecular-mass measurements suggest a G(N)-G(C) heterodimer as the most likely candidate for this structural unit. Both leaflets of the lipid bilayer were discernible, and the glycoprotein transmembrane densities were seen to modulate the curvature of the lipid bilayer. RNP densities were situated directly underneath the transmembrane densities, suggesting an interaction between the glycoprotein cytoplasmic tails and the RNPs. The success of the single-particle averaging approach taken in this study suggests that it is applicable in the study of other phleboviruses, as well, enabling higher-resolution description of these medically important pathogens."
"Bulletin de la Société de pathologie exotique (1990)","Rift Valley Fever (RVF) and West Nile fever (WN) viruses are transmitted by several mosquito species and share the same vectors in Northern Senegal (West Africa). In absence of an effective treatment and vaccines, vector control remains an alternative method of prevention and control of these vector-borne diseases. The methods targeting adults' pest mosquitoes and malaria vectors which are currently used by the population in the Barkedji area (insecticides treated nets, bombs and copper coil) would not be effective against these vectors because of their exophagic and zoophilic behavior. Thus, we decided to evaluate the effectiveness of insecticide-treated cattle as a method to control these vectors. We evaluated the effects of this treatment on the mortality and the behaviour (attractiveness and engorgement) of the main vectors and subsidiary the whole mosquito fauna. Our study was conducted during September 2005, and between July and November 2006, at Niakha pond located 4 km from the Barkedji village in the Sahelian region of Senegal. A bull-calf was treated with 25 mg/m2 of deltamethrin and compared to an untreated calf of the same weight used as a control. The assays were conducted using two net-traps placed at the edge of the pond from 19:00 PM to 22:00 PM each night for 4 nights per week for 4 consecutive weeks after each treatment. The risk that host- seeking mosquitoes that do not have possibility to feed on cattle might turn to men cohabiting with these cattle was evaluated simultaneously during the bioassay. The deltamethrin treatment led to a significant reduction in the average number of mosquitoes attracted by the treated-calf compared to the control during the first 2 weeks post-treatment both for all species and for the main vectors such as Ae. vexans, Ae. ochraceus, Cx. poicilipes, Cx. neavei and Ma. uniformis. However these means were comparable for the last two weeks post-treatment both for the whole mosquito fauna and the main vectors with the exception of Cx. neavei. The treatment resulted in a significant reduction in the rates of engorged females during the first two weeks post-treatment. Indeed, the females' engorgement rate on the treated-calf compared to the control has been reduced by 57.3% for Ae. vexans, 39.8% for Ae. ochraceus, 76.4% for Cx. poicilipes, 82.4% for Cx. neavei, 84.6% for Ma. uniformis and 64.1% for the whole mosquito fauna. This effect of the treatment was maintained in the second fortnight post-treatment only for Cx. neavei. Mortality rates were higher among mosquitoes collected with the treated-calf compared to the control in the first fortnight of the test. This impact of the insecticide has been maintained in the second fortnight post-treatment excepted for Cx. neavei. However a significant variation of the mortality of the mosquitoes collected with the treated-cattle was observed between the two fortnights. In fact, the mortality rate of the mosquitoes collected on the treated-cattle decreased by 43.8% for the mosquito fauna as a whole, 47.5% for Cx. poicilipes and 82.4% for Ae. vexans, 76% for Ae. ochraceus, and 63.3% for Ma. uniformis. No deviation of host-seeking mosquitoes, from treated calf to men, has been observed since the average number of host-seeking mosquitoes collected on men close to the two calves was statistically comparable. The insecticide-treated cattle may be a good method for controlling RVF and WN vectors and associated mosquitoes in Senegal. However there is a need to develop new formulations or new strategies of application that could improve the duration of the effectiveness of the treatment."
"Journal of the American Mosquito Control Association","The rapid spread of West Nile viral activity across North America since its discovery in 1999 illustrates the potential for an exotic arbovirus to be introduced and widely established across North America. Rift Valley fever virus (RVFV) has been responsible for large outbreaks in Africa that have resulted in hundreds of thousands of human infections and major economic disruption due to loss of livestock and to trade restrictions. However, little is known about the potential for North American mosquitoes to transmit this virus should it be introduced into North America. Therefore, we evaluated selected mosquito species from the southeastern United States for their ability to serve as potential vectors for RVFV. Mosquitoes were fed on adult hamsters inoculated 1 day previously with RVFV. These mosquitoes were tested for infection and ability to transmit RVFV after incubation at 26 degrees C for 7-21 days. None of the species tested (Aedes taeniorhynchus, Ae. vexans, Culex erraticus, Cx. nigripalpus, Cx. quinquefasciatus, and Cx. salinarius) were efficient vectors after they fed on hamsters with viremias ranging from 10(4.1) to 10(6.9) plaque-forming units (PFU)/ml. However, Ae. taeniorhynchus, Ae. vexans, and Cx. erraticus all developed disseminated infections after they fed on hamsters with viremias between 10(8.5) and 10(10.2) PFU/ml, and both Ae. vexans and Cx. erraticus transmitted RVFV by bite. These studies illustrate the need to identify the ability of individual mosquito species to transmit RVFV so that appropriate decisions can be made concerning the application of control measures during an outbreak."
"Journal of clinical microbiology","Approximately 8% of Rift Valley fever (RVF) cases develop severe disease, leading to hemorrhage, hepatitis, and/or encephalitis and resulting in up to 50% of deaths. A major obstacle in the management of RVF and other viral hemorrhagic fever cases in outbreaks that occur in rural settings is the inability to rapidly identify such cases, with poor prognosis early enough to allow for more-aggressive therapies. During an RVF outbreak in Kenya in 2006 to 2007, we evaluated whether quantitative real-time reverse transcription-PCR (qRT-PCR) could be used in the field to rapidly identify viremic RVF cases with risk of death. In 52 of 430 RVF cases analyzed by qRT-PCR and virus culture, 18 died (case fatality rate [CFR] = 34.6%). Levels of viremia in fatal cases were significantly higher than those in nonfatal cases (mean of 10(5.2) versus 10(2.9) per ml; P < 0.005). A negative correlation between the levels of infectious virus particles and the qRT-PCR crossover threshold (C(T)) values allowed the use of qRT-PCR to assess prognosis. The CFR was 50.0% among cases with C(T) values of <27.0 (corresponding to 2.1 x 10(4) viral RNA particles/ml of serum) and 4.5% among cases with C(T) values of >or=27.0. This cutoff yielded 93.8% sensitivity and a 95.5% negative predictive value; the specificity and positive predictive value were 58% and 50%, respectively. This study shows a correlation between high viremia and fatality and indicates that qRT-PCR testing can identify nearly all fatal RVF cases."
"Epidemiology and infection","Rift Valley fever virus (RVFV) is a mosquito-transmitted bunyavirus (genus Phlebovirus) associated with severe disease in livestock and fatal encephalitis or haemorrhagic fever in a proportion of infected humans. Although live attenuated and inactivated vaccines have been used in livestock, and on a limited scale in humans, there is a need for improved anti-RVFV vaccines. Towards this goal, Sindbis virus replicon vectors expressing the RVFV Gn and Gc glycoproteins, as well as the non-structural nsM protein, were constructed and evaluated for their ability to induce protective immune responses against RVFV. These replicon vectors were shown to produce the RVFV glycoproteins to high levels in vitro and to induce systemic anti-RVFV antibody responses in immunized mice, as determined by RVFV-specific ELISA, fluorescent antibody tests, and demonstration of a neutralizing antibody response. Replicon vaccination also provided 100% protection against lethal RVFV challenge by either the intraperitoneal or intranasal route. Furthermore, preliminary results indicate that the replicon vectors elicit RVFV-specific neutralizing antibody responses in vaccinated sheep. These results suggest that alphavirus-based replicon vectors can induce protective immunity against RVFV, and that this approach merits further investigation into its potential utility as a RVFV vaccine."
"Virology","Rift Valley Fever virus (RVFV) regularly accounts for severe and often lethal outbreaks among livestock and humans in Africa. Safe and effective veterinarian and human vaccines are highly needed. We present evidence that administration of RVF virus-like particles (VLPs) induces protective immunity in mice. In an accompanying paper, (Habjan, M., Penski, N., Wagner, V., Spiegel, M., Overby, A.K., Kochs, G., Huiskonen, J., Weber, F., 2009. Efficient production of Rift Valley fever virus-like particles: the antiviral protein MxA can inhibit primary transcription of Bunyaviruses. Virology 385, 400-408) we report the production of these VLPs in mammalian cells. After three subsequent immunizations with 1x10(6) VLPs/dose, high titers of virus-neutralizing antibodies were detected; 11 out of 12 mice were protected from challenge and only 1 out of 12 mice survived infection in the control groups. VLP vaccination efficiently suppressed replication of the challenge virus, whereas in the control animals high RNA levels and increasing antibody titers against the nucleocapsid protein indicated extensive viral replication. Our study demonstrates that the RVF VLPs are highly immunogenic and confer protection against RVFV infection in mice. In the test groups, the vaccinated mice did not exhibit any side effects, and the lack of anti-nucleocapsid protein antibodies serologically distinguished vaccinated animals from experimentally infected animals."
"Virology","Rift Valley fever virus (RVFV) is a highly pathogenic member of the family Bunyaviridae that needs to be handled under biosafety level (BSL) 3 conditions. Here, we describe reverse genetics systems to measure RVFV polymerase activity in mammalian cells and to generate virus-like particles (VLPs). Recombinant polymerase (L) and nucleocapsid protein (N), expressed together with a minireplicon RNA, formed transcriptionally active nucleocapsids. These could be packaged into VLPs by additional expression of viral glycoproteins. The VLPs resembled authentic virus particles and were able to infect new cells. After infection, VLP-associated nucleocapsids autonomously performed primary transcription, and co-expression of L and N in VLP-infected cells allowed subsequent replication and secondary transcription. Bunyaviruses are potently inhibited by a human interferon-induced protein, MxA. However, the affected step in the infection cycle is not entirely characterized. Using the VLP system, we demonstrate that MxA inhibits both primary and secondary transcriptions of RVFV. A set of infection assays distinguishing between virus attachment, entry, and subsequent RNA synthesis confirmed that MxA is able to target immediate early RNA synthesis of incoming RVFV particles. Thus, our reverse genetics systems are useful for dissecting individual steps of RVFV infection under non-BSL3 conditions."
"Virology journal","Affecting both livestock and humans, Rift Valley Fever is considered as one of the most important viral zoonoses in Africa. However, no licensed vaccines or effective treatments are yet available for human use. Naked DNA vaccines are an interesting approach since the virus is highly infectious and existing attenuated Rift Valley Fever virus vaccine strains display adverse effects in animal trials. In this study, gene-gun immunisations with cDNA encoding structural proteins of the Rift Valley Fever virus were evaluated in mice. The induced immune responses were analysed for the ability to protect mice against virus challenge.Immunisation with cDNA encoding the nucleocapsid protein induced strong humoral and lymphocyte proliferative immune responses, and virus neutralising antibodies were acquired after vaccination with cDNA encoding the glycoproteins. Even though complete protection was not achieved by genetic immunisation, four out of eight, and five out of eight mice vaccinated with cDNA encoding the nucleocapsid protein or the glycoproteins, respectively, displayed no clinical signs of infection after challenge. In contrast, all fourteen control animals displayed clinical manifestations of Rift Valley Fever after challenge.The appearance of Rift Valley Fever associated clinical signs were significantly decreased among the DNA vaccinated mice and further adjustment of this strategy may result in full protection against Rift Valley Fever."
"Proceedings of the National Academy of Sciences of the United States of America","El Niño/Southern Oscillation related climate anomalies were analyzed by using a combination of satellite measurements of elevated sea-surface temperatures and subsequent elevated rainfall and satellite-derived normalized difference vegetation index data. A Rift Valley fever (RVF) risk mapping model using these climate data predicted areas where outbreaks of RVF in humans and animals were expected and occurred in the Horn of Africa from December 2006 to May 2007. The predictions were subsequently confirmed by entomological and epidemiological field investigations of virus activity in the areas identified as at risk. Accurate spatial and temporal predictions of disease activity, as it occurred first in southern Somalia and then through much of Kenya before affecting northern Tanzania, provided a 2 to 6 week period of warning for the Horn of Africa that facilitated disease outbreak response and mitigation activities. To our knowledge, this is the first prospective prediction of a RVF outbreak."
"Vector borne and zoonotic diseases (Larchmont, N.Y.)","A cross-sectional sero survey of 199 apparently healthy persons from various occupations was carried out in Tanga, Tanzania in November 2004 to investigate exposure to Rift Valley fever (RVF) virus. Sera were tested for the presence of antibodies to RVF virus by the inhibition enzyme-linked immunosorbent assay (ELISA) for detecting immunoglobulin G (IgG). All reactive sera were further tested by the capture ELISA test and specific RVF immunoglobulin M (IgM) assay. Eight (4.0%) tested positive for IgG and none of the samples tested positive for IgM. Among the occupational groups examined, the seroprevalence was 7.3%, 1.5%, and 9.5% in the abattoir workers, livestock keepers, and others categories, respectively. Seropositivity was higher in men (5.3%) than women (1.5 %) and increased markedly in men aged between 20 to 40 years, with no significant differences among the age groups and sexes. The results indicate that a small proportion of people in Tanga municipality were exposed to RVF virus infection prior to 2007 disease outbreak in Tanzania. These findings need to be taken into consideration when future disease control programs are implemented."
"Journal of virological methods","A safe laboratory procedure, based on a sandwich ELISA (sAg-ELISA), was developed and evaluated for the detection of nucleocapsid protein (NP) of Rift Valley fever virus (RVFV) in specimens inactivated at 56 degrees C for 1h in the presence of 0.5% Tween-20 (v/v) before testing. Polyclonal capture and detection immune sera were generated respectively in sheep and rabbits immunized with recombinant NP antigen. The assay was highly repeatable and specific; it detected strains of RVFV from the entire distributional range of the disease, isolated over a period of 53 years; no cross-reactivity with genetically related African phleboviruses or other members of the family Bunyaviridae was observed. In specimens spiked with RVFV, including human and animal sera, homogenates of liver and spleen tissues of domestic ruminants, and Anopheles mosquito homogenates, the sAg-ELISA detection limit ranged from log(10)10(2.2) to 10(3.2) TCID(50)/reaction volume. The ELISA detected NP antigen in spiked bovine and sheep liver homogenates up to at least 8 days of incubation at 37 degrees C whereas infectious virus could not be detected at 48h incubation in these adverse conditions. Compared to virus isolation from sera from RVF patients and sheep infected experimentally, the ELISA had 67.7% and 70% sensitivity, and 97.97% and 100% specificity, respectively. The assay was 100% accurate when testing tissues of various organs from mice infected experimentally and buffalo foetuses infected naturally. The assay was able to detect NP antigen in infective culture supernatants 16-24h before cytopathic effects were observed microscopically and as early as 8h after inoculation with 10(5.8) TCID(50)/ml of RVFV. This ability renders the assay for rapid identification of the virus when its primary isolation is attempted in vitro. As a highly specific, safe and simple assay format, the sAg-ELISA represents a valuable diagnostic tool for use in less equipped laboratories in Africa, and for routine differential diagnosis of viral hemorrhagic fevers."
"Viruses","Assays to simultaneously detect multiple potential agents of bioterrorism are limited. Two multiplex PCR and RT-PCR enzyme hybridization assays (mPCR-EHA, mRT-PCR-EHA) were developed to simultaneously detect many of the CDC category ""A"" bioterrorism agents. The ""Bio T"" DNA assay was developed to detect: Variola major (VM), Bacillus anthracis (BA), Yersinia pestis (YP), Francisella tularensis (FT) and Varicella zoster virus (VZV). The ""Bio T"" RNA assay (mRT-PCR-EHA) was developed to detect: Ebola virus (Ebola), Lassa fever virus (Lassa), Rift Valley fever (RVF), Hantavirus Sin Nombre species (HSN) and dengue virus (serotypes 1-4). Sensitivity and specificity of the 2 assays were tested by using genomic DNA, recombinant plasmid positive controls, RNA transcripts controls, surrogate (spiked) clinical samples and common respiratory pathogens. The analytical sensitivity (limit of detection (LOD)) of the DNA asssay for genomic DNA was 1x10(0)~1x10(2) copies/mL for BA, FT and YP. The LOD for VZV whole organism was 1x10(-2) TCID(50)/mL. The LOD for recombinant controls ranged from 1x10(2)~1x10(3)copies/mL for BA, FT, YP and VM. The RNA assay demonstrated LOD for RNA transcript controls of 1x10(4)~1x10(6) copies/mL without extraction and 1x10(5)~1x10(6) copies/mL with extraction for Ebola, RVF, Lassa and HSN. The LOD for dengue whole organisms was ~1x10(-4) dilution for dengue 1 and 2, 1x10(4) LD(50)/mL and 1x10(2) LD(50)/mL for dengue 3 and 4. The LOD without extraction for recombinant plasmid DNA controls was ~1x10(3) copies/mL (1.5 input copies/reaction) for Ebola, RVF, Lassa and HSN. No cross-reactivity of primers and probes used in both assays was detected with common respiratory pathogens or between targeted analytes. Clinical sensitivity was estimated using 264 surrogate clinical samples tested with the BioT DNA assay and 549 samples tested with the BioT RNA assay. The clinical specificity is 99.6% and 99.8% for BioT DNA assay and BioT RNA assay, respectively. The surrogate sensitivities of these two assays were 100% (95%CI 83-100) for FT, BA (pX02), YP, VM, VZV, dengue 2,3,4 and 95% (95%CI 75-100) for BA (pX01) and dengue 1 using spiked clinical specimens. The specificity of both BioT multiplex assays on spiked specimens was 100% (95% CI 99-100). Compared to other available assays (culture, serology, PCR, etc.) both the BioT DNA mPCR-EHA and BioT RNA mRT-PCR-EHA are rapid, sensitive and specific assays for detecting many category ""A"" Bioterrorism agents using a standard thermocycler."
"Journal of clinical microbiology","This paper reports on the development and validation of a real-time reverse transcription-loop-mediated isothermal amplification assay (RT-LAMP) targeting the genomic large RNA segment of Rift Valley fever virus (RVFV). The set of six designed RT-LAMP primers identified strains of RVFV isolated in geographically distinct areas over a period of 50 years; there was no cross-reactivity with other genetically related and unrelated arboviruses. When testing serial sera and plasma from sheep experimentally infected with wild-type RVFV, there was 100% agreement between results of the RT-LAMP, a TaqMan-based real-time PCR, and virus isolation. Similarly, the assay had very high levels of diagnostic sensitivity and specificity when testing various clinical specimens from humans and animals naturally infected with the virus during recent outbreaks of the disease in Africa. The detection of specific viral genome targets in positive clinical specimens was achieved in less than 30 min. As a highly accurate, rapid, and very simple nucleic acid detection format, the RT-LAMP has the potential to be used in less-well-equipped laboratories in Africa and as a portable device during RVF outbreaks in remote areas, and it can be a valuable tool for the differential diagnosis of viral hemorrhagic fevers."
