Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Epidemiological investigations of outbreaks of bovine ephemeral fever in Israel.","/pubmed/12180660","Yeruham I, Braverman Y, Yadin H, Van Ham M, Chai D, Tiomkin D, Frank D.","Vet Rec. 2002 Jul 27;151(4):117-21.","Vet Rec.  2002","PubMed","citation","PMID:12180660","pubmed","12180660","create date:2002/08/16 | first author:Yeruham I",
"Teratogenicity of a mutagenised Rift Valley fever virus (MVP 12) in sheep.","/pubmed/12092782","Hunter P, Erasmus BJ, Vorster JH.","Onderstepoort J Vet Res. 2002 Mar;69(1):95-8.","Onderstepoort J Vet Res.  2002","PubMed","citation","PMID:12092782","pubmed","12092782","create date:2002/07/03 | first author:Hunter P",
"Rapid detection and quantification of RNA of Ebola and Marburg viruses, Lassa virus, Crimean-Congo hemorrhagic fever virus, Rift Valley fever virus, dengue virus, and yellow fever virus by real-time reverse transcription-PCR.","/pubmed/12089242","Drosten C, Göttig S, Schilling S, Asper M, Panning M, Schmitz H, Günther S.","J Clin Microbiol. 2002 Jul;40(7):2323-30.","J Clin Microbiol.  2002","PubMed","citation","PMID:12089242 | PMCID:PMC120575","pubmed","12089242","create date:2002/06/29 | first author:Drosten C",
"Climate warming and disease risks for terrestrial and marine biota.","/pubmed/12077394","Harvell CD, Mitchell CE, Ward JR, Altizer S, Dobson AP, Ostfeld RS, Samuel MD.","Science. 2002 Jun 21;296(5576):2158-62. Review.","Science.  2002","PubMed","citation","PMID:12077394","pubmed","12077394","create date:2002/06/22 | first author:Harvell CD",
"Use of reverse transcriptase PCR in early diagnosis of Rift Valley fever.","/pubmed/11986283","Sall AA, Macondo EA, Sène OK, Diagne M, Sylla R, Mondo M, Girault L, Marrama L, Spiegel A, Diallo M, Bouloy M, Mathiot C.","Clin Diagn Lab Immunol. 2002 May;9(3):713-5.","Clin Diagn Lab Immunol.  2002","PubMed","citation","PMID:11986283 | PMCID:PMC119982","pubmed","11986283","create date:2002/05/03 | first author:Sall AA",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Diagnostic pathology of selected diseases in wildlife.","/pubmed/11974632","Cooper JE.","Rev Sci Tech. 2002 Apr;21(1):77-89. Review.","Rev Sci Tech.  2002","PubMed","citation","PMID:11974632","pubmed","11974632","create date:2002/04/27 | first author:Cooper JE",
"Isolation of west nile and sindbis viruses from mosquitoes collected in the Nile Valley of Egypt during an outbreak of Rift Valley fever.","/pubmed/11931267","Turell MJ, Morrill JC, Rossi CA, Gad AM, Cope SE, Clements TL, Arthur RR, Wasieloski LP, Dohm DJ, Nash D, Hassan MM, Hassan AN, Morsy ZS, Presley SM.","J Med Entomol. 2002 Jan;39(1):248-50.","J Med Entomol.  2002","PubMed","citation","PMID:11931267","pubmed","11931267","create date:2002/04/05 | first author:Turell MJ",
"An outbreak of Rift Valley fever in Northeastern Kenya, 1997-98.","/pubmed/11897064","Woods CW, Karpati AM, Grein T, McCarthy N, Gaturuku P, Muchiri E, Dunster L, Henderson A, Khan AS, Swanepoel R, Bonmarin I, Martin L, Mann P, Smoak BL, Ryan M, Ksiazek TG, Arthur RR, Ndikuyeze A, Agata NN, Peters CJ; World Health Organization Hemorrhagic Fever Task Force.","Emerg Infect Dis. 2002 Feb;8(2):138-44.","Emerg Infect Dis.  2002","PubMed","citation","PMID:11897064 | PMCID:PMC2732454","pubmed","11897064","create date:2002/03/19 | first author:Woods CW",
"Antivirally active MxA protein sequesters La Crosse virus nucleocapsid protein into perinuclear complexes.","/pubmed/11880649","Kochs G, Janzen C, Hohenberg H, Haller O.","Proc Natl Acad Sci U S A. 2002 Mar 5;99(5):3153-8.","Proc Natl Acad Sci U S A.  2002","PubMed","citation","PMID:11880649 | PMCID:PMC122488","pubmed","11880649","create date:2002/03/07 | first author:Kochs G",
"A reassortant bunyavirus isolated from acute hemorrhagic fever cases in Kenya and Somalia.","/pubmed/11878887","Bowen MD, Trappier SG, Sanchez AJ, Meyer RF, Goldsmith CS, Zaki SR, Dunster LM, Peters CJ, Ksiazek TG, Nichol ST; RVF Task Force.","Virology. 2001 Dec 20;291(2):185-90.","Virology.  2001","PubMed","citation","PMID:11878887","pubmed","11878887","create date:2002/03/07 | first author:Bowen MD",
"[Microbiological surveillance: viral hemorrhagic fever in Central African Republic: current serological data in man].","/pubmed/11775321","Nakounné E, Selekon B, Morvan J.","Bull Soc Pathol Exot. 2000 Jan;93(5):340-7. French. ","Bull Soc Pathol Exot.  2000","PubMed","citation","PMID:11775321","pubmed","11775321","create date:2002/01/05 | first author:Nakounné E",
"Rift Valley fever outbreak, Mauritania, 1998: seroepidemiologic, virologic, entomologic, and zoologic investigations.","/pubmed/11747742","Nabeth P, Kane Y, Abdalahi MO, Diallo M, Ndiaye K, Ba K, Schneegans F, Sall AA, Mathiot C.","Emerg Infect Dis. 2001 Nov-Dec;7(6):1052-4.","Emerg Infect Dis.  2001","PubMed","citation","PMID:11747742 | PMCID:PMC2631907","pubmed","11747742","create date:2001/12/19 | first author:Nabeth P",
"Quantitative real-time PCR detection of Rift Valley fever virus and its application to evaluation of antiviral compounds.","/pubmed/11724861","Garcia S, Crance JM, Billecocq A, Peinnequin A, Jouan A, Bouloy M, Garin D.","J Clin Microbiol. 2001 Dec;39(12):4456-61.","J Clin Microbiol.  2001","PubMed","citation","PMID:11724861 | PMCID:PMC88565","pubmed","11724861","create date:2001/11/29 | first author:Garcia S",
"Viral hemorrhagic fever hazards for travelers in Africa.","/pubmed/11595975","Isaäcson M.","Clin Infect Dis. 2001 Nov 15;33(10):1707-12. Epub 2001 Oct 10. Review.","Clin Infect Dis.  2001","PubMed","citation","PMID:11595975","pubmed","11595975","create date:2001/10/12 | first author:Isaäcson M",
"Interferon-induced rat Mx proteins confer resistance to Rift Valley fever virus and other arthropod-borne viruses.","/pubmed/11576460","Sandrock M, Frese M, Haller O, Kochs G.","J Interferon Cytokine Res. 2001 Sep;21(9):663-8.","J Interferon Cytokine Res.  2001","PubMed","citation","PMID:11576460","pubmed","11576460","create date:2001/09/29 | first author:Sandrock M",
"SEROPREVALENCE OF RIFT VALLEY FEVER AMONG SLAUGHTERHOUSE PERSONNEL IN MAKKAH DURING HAJJ 1419h (1999).","/pubmed/23008651","Turkistany AH, Mohamed AG, Al-Hamdan N.","J Family Community Med. 2001 Sep;8(3):53-7.","J Family Community Med.  2001","PubMed","citation","PMID:23008651 | PMCID:PMC3439744","pubmed","23008651","create date:2001/09/01 | first author:Turkistany AH",
"Arbovirus surveillance from 1990 to 1995 in the Barkedji area (Ferlo) of Senegal, a possible natural focus of Rift Valley fever virus.","/pubmed/11476327","Traoré-Lamizana M, Fontenille D, Diallo M, Bâ Y, Zeller HG, Mondo M, Adam F, Thonon J, Maïga A.","J Med Entomol. 2001 Jul;38(4):480-92.","J Med Entomol.  2001","PubMed","citation","PMID:11476327","pubmed","11476327","create date:2001/07/31 | first author:Traoré-Lamizana M",
"Climate-disease connections: Rift Valley Fever in Kenya.","/pubmed/11426274","Anyamba A, Linthicum KJ, Tucker CJ.","Cad Saude Publica. 2001;17 Suppl:133-40.","Cad Saude Publica.  2001","PubMed","citation","PMID:11426274","pubmed","11426274","create date:2001/06/27 | first author:Anyamba A",
"Response of laboratory staff to vaccination with an inactivated Rift Valley fever vaccine--TSI-GSD 200.","/pubmed/11379456","Frank-Peterside N.","Afr J Med Med Sci. 2000 Jun;29(2):89-92.","Afr J Med Med Sci.  2000","PubMed","citation","PMID:11379456","pubmed","11379456","create date:2001/05/31 | first author:Frank-Peterside N",
"Rift valley fever.","/pubmed/11360082","Shawky S.","Saudi Med J. 2000 Dec;21(12):1109-15. Review.","Saudi Med J.  2000","PubMed","citation","PMID:11360082","pubmed","11360082","create date:2001/05/22 | first author:Shawky S",
"Emerging infectious diseases: a cause for concern.","/pubmed/11344776","Berns DS, Rager B.","Isr Med Assoc J. 2000 Dec;2(12):919-23. Review.","Isr Med Assoc J.  2000","PubMed","citation","PMID:11344776","pubmed","11344776","create date:2001/05/10 | first author:Berns DS",
"First isolation of the Rift Valley fever virus from Culex poicilipes (Diptera: Culicidae) in nature.","/pubmed/11304058","Diallo M, Lochouarn L, Ba K, Sall AA, Mondo M, Girault L, Mathiot C.","Am J Trop Med Hyg. 2000 Jun;62(6):702-4.","Am J Trop Med Hyg.  2000","PubMed","citation","PMID:11304058","pubmed","11304058","create date:2001/04/17 | first author:Diallo M",
"Activity of Toscana and Rift Valley fever virus transcription complexes on heterologous templates.","/pubmed/11257182","Accardi L, Prehaud C, Di Bonito P, Mochi S, Bouloy M, Giorgi C.","J Gen Virol. 2001 Apr;82(Pt 4):781-5.","J Gen Virol.  2001","PubMed","citation","PMID:11257182","pubmed","11257182","create date:2001/03/21 | first author:Accardi L",
"[Rift Valley fever].","/pubmed/11221696","[No authors listed]","Sante. 2000 Sep-Oct;10(5):357-8. French.  No abstract available. ","Sante.  2000","PubMed","citation","PMID:11221696","pubmed","11221696","create date:2001/02/28",
"Rift Valley Fever, Yemen (update).","/pubmed/11218326","[No authors listed]","Wkly Epidemiol Rec. 2000 Oct 13;75(41):329-30. English, French.  No abstract available. ","Wkly Epidemiol Rec.  2000","PubMed","citation","PMID:11218326","pubmed","11218326","create date:2001/02/24",
"Emerging diseases of Africa and the Middle East.","/pubmed/11193683","Rweyemamu M, Paskin R, Benkirane A, Martin V, Roeder P, Wojciechowski K.","Ann N Y Acad Sci. 2000;916:61-70.","Ann N Y Acad Sci.  2000","PubMed","citation","PMID:11193683","pubmed","11193683","create date:2001/02/24 | first author:Rweyemamu M",
"Infections by viruses of the families Bunyaviridae and Filoviridae.","/pubmed/11189728","Zeller H, Bouloy M.","Rev Sci Tech. 2000 Apr;19(1):79-91. Review.","Rev Sci Tech.  2000","PubMed","citation","PMID:11189728","pubmed","11189728","create date:2001/02/24 | first author:Zeller H",
"Climatic and geographic influences on arboviral infections and vectors.","/pubmed/11189725","Mellor PS, Leake CJ.","Rev Sci Tech. 2000 Apr;19(1):41-54. Review.","Rev Sci Tech.  2000","PubMed","citation","PMID:11189725","pubmed","11189725","create date:2001/02/24 | first author:Mellor PS",
"From the Centers for Disease Control. Update: outbreak of Rift Valley fever--Saudi Arabia, August-November 2000.","/pubmed/11188065","[No authors listed]","JAMA. 2000 Dec 20;284(23):2989-90. No abstract available. ","JAMA.  2000","PubMed","citation","PMID:11188065","pubmed","11188065","create date:2001/02/24",
"Outbreak of Rift Valley fever--Yemen, August-October 2000.","/pubmed/11186611","Centers for Disease Control and Prevention (CDC).","MMWR Morb Mortal Wkly Rep. 2000 Dec 1;49(47):1065-6.","MMWR Morb Mortal Wkly Rep.  2000","PubMed","citation","PMID:11186611","pubmed","11186611","create date:2001/02/24 | first author:Centers for Disease Control and Prevention (CDC)",
"From the Centers for Disease Control and Prevention. Outbreak of Rift Valley fever--Saudi Arabia, August-October, 2000.","/pubmed/11184778","[No authors listed]","JAMA. 2000 Nov 8;284(18):2310-1. No abstract available.  Erratum in: JAMA 2000 May 22-29;284(20):2590. ","JAMA.  2000","PubMed","citation","PMID:11184778","pubmed","11184778","create date:2001/02/24",
"Single-tube and nested reverse transcriptase-polymerase chain reaction for detection of Rift Valley fever virus in human and animal sera.","/pubmed/11164489","Sall AA, Thonnon J, Sene OK, Fall A, Ndiaye M, Baudez B, Mathiot C, Bouloy M.","J Virol Methods. 2001 Jan;91(1):85-92.","J Virol Methods.  2001","PubMed","citation","PMID:11164489","pubmed","11164489","create date:2001/02/13 | first author:Sall AA",
"Genetic evidence for an interferon-antagonistic function of rift valley fever virus nonstructural protein NSs.","/pubmed/11152510","Bouloy M, Janzen C, Vialat P, Khun H, Pavlovic J, Huerre M, Haller O.","J Virol. 2001 Feb;75(3):1371-7.","J Virol.  2001","PubMed","citation","PMID:11152510 | PMCID:PMC114043","pubmed","11152510","create date:2001/01/11 | first author:Bouloy M",
"Outbreak of Rift Valley fever, Yemen, August-October 2000.","/pubmed/11144616","[No authors listed]","Wkly Epidemiol Rec. 2000 Dec 1;75(48):392-5. English, French.  No abstract available. ","Wkly Epidemiol Rec.  2000","PubMed","citation","PMID:11144616","pubmed","11144616","create date:2001/01/06",
"Rift Valley fever, Saudi Arabia, August-October 2000.","/pubmed/11143817","[No authors listed]","Wkly Epidemiol Rec. 2000 Nov 17;75(46):370-1. English, French.  No abstract available. ","Wkly Epidemiol Rec.  2000","PubMed","citation","PMID:11143817","pubmed","11143817","create date:2001/01/06",
"[Impact of veterinary arboviruses. The case of Rift Valley Fever].","/pubmed/11100457","Lefevre PC.","Med Trop (Mars). 2000;60(2 Suppl):27-30. Review. French.  No abstract available. ","Med Trop (Mars).  2000","PubMed","citation","PMID:11100457","pubmed","11100457","create date:2000/12/02 | first author:Lefevre PC",
"Update: outbreak of Rift Valley Fever--Saudi Arabia, August-November 2000.","/pubmed/11098861","Centers for Disease Control and Prevention (CDC).","MMWR Morb Mortal Wkly Rep. 2000 Nov 3;49(43):982-5.","MMWR Morb Mortal Wkly Rep.  2000","PubMed","citation","PMID:11098861","pubmed","11098861","create date:2000/12/01 | first author:Centers for Disease Control and Prevention (CDC)",
"More deaths from Rift Valley fever in Saudi Arabia and Yemen.","/pubmed/11052595","Ahmad K.","Lancet. 2000 Oct 21;356(9239):1422. No abstract available. ","Lancet.  2000","PubMed","citation","PMID:11052595","pubmed","11052595","create date:2000/10/29 | first author:Ahmad K",
"Rift Valley fever, Saudi Arabia (update).","/pubmed/11050897","[No authors listed]","Wkly Epidemiol Rec. 2000 Oct 6;75(40):321. English, French.  No abstract available. ","Wkly Epidemiol Rec.  2000","PubMed","citation","PMID:11050897","pubmed","11050897","create date:2000/10/29",
"Outbreak of Rift Valley fever--Saudi Arabia, August-October, 2000.","/pubmed/11043643","Centers for Disease Control and Prevention (CDC).","MMWR Morb Mortal Wkly Rep. 2000 Oct 13;49(40):905-8. Erratum in: MMWR Morb Mortal Wkly Rep 2000 Oct 20;49(41):940. ","MMWR Morb Mortal Wkly Rep.  2000","PubMed","citation","PMID:11043643","pubmed","11043643","create date:2000/10/24 | first author:Centers for Disease Control and Prevention (CDC)",
"Resistance to Rift Valley fever virus in Rattus norvegicus: genetic variability within certain 'inbred' strains.","/pubmed/11038380","Ritter M, Bouloy M, Vialat P, Janzen C, Haller O, Frese M.","J Gen Virol. 2000 Nov;81(Pt 11):2683-8.","J Gen Virol.  2000","PubMed","citation","PMID:11038380","pubmed","11038380","create date:2000/10/20 | first author:Ritter M",
"Rift valley Fever: lessons to be learned.","/pubmed/23008626","Alam AA, Mohammed AG.","J Family Community Med. 2000 Sep;7(3):19-22. No abstract available. ","J Family Community Med.  2000","PubMed","citation","PMID:23008626 | PMCID:PMC3437076","pubmed","23008626","create date:2000/09/01 | first author:Alam AA",
"Pathogen-specific resistance to Rift Valley fever virus infection is induced in mosquito cells by expression of the recombinant nucleoprotein but not NSs non-structural protein sequences.","/pubmed/10950972","Billecocq A, Vazeille-Falcoz M, Rodhain F, Bouloy M.","J Gen Virol. 2000 Sep;81(Pt 9):2161-6.","J Gen Virol.  2000","PubMed","citation","PMID:10950972","pubmed","10950972","create date:2000/08/22 | first author:Billecocq A",
"Hemorrhagic fever virus-induced changes in hemostasis and vascular biology.","/pubmed/10937808","Chen JP, Cosgriff TM.","Blood Coagul Fibrinolysis. 2000 Jul;11(5):461-83. Review. Erratum in: Blood Coagul Fibrinolysis 2001 Jan;12(1):84. ","Blood Coagul Fibrinolysis.  2000","PubMed","citation","PMID:10937808","pubmed","10937808","create date:2000/08/11 | first author:Chen JP",
"Communicable disease surveillance with limited resources: the scope to link human and veterinary programmes.","/pubmed/10913758","Shears P.","Acta Trop. 2000 Jul 21;76(1):3-7.","Acta Trop.  2000","PubMed","citation","PMID:10913758","pubmed","10913758","create date:2000/07/29 | first author:Shears P",
"Seroprevalence of West Nile, Rift Valley, and sandfly arboviruses in Hashimiah, Jordan.","/pubmed/10905968","Batieha A, Saliba EK, Graham R, Mohareb E, Hijazi Y, Wijeyaratne P.","Emerg Infect Dis. 2000 Jul-Aug;6(4):358-62.","Emerg Infect Dis.  2000","PubMed","citation","PMID:10905968 | PMCID:PMC2640900","pubmed","10905968","create date:2000/07/25 | first author:Batieha A",
"[Viruses and civilization].","/pubmed/10901842","Chastel C.","Med Trop (Mars). 1999;59(4 Pt 2):425-9. French. ","Med Trop (Mars).  1999","PubMed","citation","PMID:10901842","pubmed","10901842","create date:2000/07/21 | first author:Chastel C",
"The potential role of rodents in the enzootic cycle of Rift Valley fever virus in Senegal.","/pubmed/10817634","Gora D, Yaya T, Jocelyn T, Didier F, Maoulouth D, Amadou S, Ruel TD, Gonzalez JP.","Microbes Infect. 2000 Apr;2(4):343-6.","Microbes Infect.  2000","PubMed","citation","PMID:10817634","pubmed","10817634","create date:2000/05/19 | first author:Gora D",
"Serosurvey for selected infectious disease agents in free-ranging black and white rhinoceros in Africa.","/pubmed/10813614","Fischer-Tenhagen C, Hamblin C, Quandt S, Frölich K.","J Wildl Dis. 2000 Apr;36(2):316-23.","J Wildl Dis.  2000","PubMed","citation","PMID:10813614","pubmed","10813614","create date:2000/05/17 | first author:Fischer-Tenhagen C",
"First field evidence for natural vertical transmission of West Nile virus in Culex univittatus complex mosquitoes from Rift Valley province, Kenya.","/pubmed/10813479","Miller BR, Nasci RS, Godsey MS, Savage HM, Lutwama JJ, Lanciotti RS, Peters CJ.","Am J Trop Med Hyg. 2000 Feb;62(2):240-6.","Am J Trop Med Hyg.  2000","PubMed","citation","PMID:10813479","pubmed","10813479","create date:2000/05/17 | first author:Miller BR",
"Prevalence of anaemia in patients attending an outpatient clinic in western Rift Valley in Kenya during a low malaria season.","/pubmed/10750503","Carter JY, Lema OE, Mukunza HK, Varia HN, Munyere AS, Watkins WM, Watkins KM.","East Afr Med J. 1999 May;76(5):251-4.","East Afr Med J.  1999","PubMed","citation","PMID:10750503","pubmed","10750503","create date:2000/04/06 | first author:Carter JY",
"[Present status of an arbovirus infection: yellow fever, its natural history of hemorrhagic fever, Rift Valley fever].","/pubmed/10690474","Digoutte JP.","Bull Soc Pathol Exot. 1999 Dec;92(5):343-8. French. ","Bull Soc Pathol Exot.  1999","PubMed","citation","PMID:10690474","pubmed","10690474","create date:2000/02/26 | first author:Digoutte JP",
"An outbreak of West Nile fever among migrants in Kisangani, Democratic Republic of Congo.","/pubmed/10674664","Nur YA, Groen J, Heuvelmans H, Tuynman W, Copra C, Osterhaus AD.","Am J Trop Med Hyg. 1999 Dec;61(6):885-8.","Am J Trop Med Hyg.  1999","PubMed","citation","PMID:10674664","pubmed","10674664","create date:2000/02/16 | first author:Nur YA",
"The S segment of rift valley fever phlebovirus (Bunyaviridae) carries determinants for attenuation and virulence in mice.","/pubmed/10627566","Vialat P, Billecocq A, Kohl A, Bouloy M.","J Virol. 2000 Feb;74(3):1538-43.","J Virol.  2000","PubMed","citation","PMID:10627566 | PMCID:PMC111490","pubmed","10627566","create date:2000/01/11 | first author:Vialat P",
"Host feeding of mosquitoes (Diptera: Culicidae) associated with the recurrence of Rift Valley fever in Egypt.","/pubmed/10593070","Gad AM, Farid HA, Ramzy RR, Riad MB, Presley SM, Cope SE, Hassan MM, Hassan AN.","J Med Entomol. 1999 Nov;36(6):709-14.","J Med Entomol.  1999","PubMed","citation","PMID:10593070","pubmed","10593070","create date:1999/12/11 | first author:Gad AM",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"An epizootic of Rift Valley fever in Egypt in 1997.","/pubmed/10588018","Abd el-Rahim IH, Abd el-Hakim U, Hussein M.","Rev Sci Tech. 1999 Dec;18(3):741-8.","Rev Sci Tech.  1999","PubMed","citation","PMID:10588018","pubmed","10588018","create date:1999/12/10 | first author:Abd el-Rahim IH",
"Could bats act as reservoir hosts for Rift Valley fever virus?","/pubmed/10396763","Oelofsen MJ, Van der Ryst E.","Onderstepoort J Vet Res. 1999 Mar;66(1):51-4.","Onderstepoort J Vet Res.  1999","PubMed","citation","PMID:10396763","pubmed","10396763","create date:1999/11/24 | first author:Oelofsen MJ",
"The Rift Valley fever virus nonstructural protein NSs is phosphorylated at serine residues located in casein kinase II consensus motifs in the carboxy-terminus.","/pubmed/10544123","Kohl A, di Bartolo V, Bouloy M.","Virology. 1999 Oct 25;263(2):517-25.","Virology.  1999","PubMed","citation","PMID:10544123","pubmed","10544123","create date:1999/11/02 | first author:Kohl A",
"Immunogenicity of an inactivated Rift Valley fever vaccine in humans: a 12-year experience.","/pubmed/10501248","Pittman PR, Liu CT, Cannon TL, Makuch RS, Mangiafico JA, Gibbs PH, Peters CJ.","Vaccine. 1999 Aug 20;18(1-2):181-9.","Vaccine.  1999","PubMed","citation","PMID:10501248","pubmed","10501248","create date:1999/09/29 | first author:Pittman PR",
"Rift valley fever surveillance in the lower Senegal river basin: update 10 years after the epidemic.","/pubmed/10499082","Thonnon J, Picquet M, Thiongane Y, Lo M, Sylla R, Vercruysse J.","Trop Med Int Health. 1999 Aug;4(8):580-5.","Trop Med Int Health.  1999","PubMed","citation","PMID:10499082","pubmed","10499082","create date:1999/09/28 | first author:Thonnon J",
"Genetic reassortment of Rift Valley fever virus in nature.","/pubmed/10482570","Sall AA, Zanotto PM, Sene OK, Zeller HG, Digoutte JP, Thiongane Y, Bouloy M.","J Virol. 1999 Oct;73(10):8196-200.","J Virol.  1999","PubMed","citation","PMID:10482570 | PMCID:PMC112837","pubmed","10482570","create date:1999/09/11 | first author:Sall AA",
"Climate and health.","/pubmed/10438299","Epstein PR.","Science. 1999 Jul 16;285(5426):347-8. No abstract available. ","Science.  1999","PubMed","citation","PMID:10438299","pubmed","10438299","create date:1999/08/07 | first author:Epstein PR",
"Climate and satellite indicators to forecast Rift Valley fever epidemics in Kenya.","/pubmed/10411500","Linthicum KJ, Anyamba A, Tucker CJ, Kelley PW, Myers MF, Peters CJ.","Science. 1999 Jul 16;285(5426):397-400.","Science.  1999","PubMed","citation","PMID:10411500","pubmed","10411500","create date:1999/07/20 | first author:Linthicum KJ",
"The carboxy-terminal acidic domain of Rift Valley Fever virus NSs protein is essential for the formation of filamentous structures but not for the nuclear localization of the protein.","/pubmed/10233964","Yadani FZ, Kohl A, Préhaud C, Billecocq A, Bouloy M.","J Virol. 1999 Jun;73(6):5018-25.","J Virol.  1999","PubMed","citation","PMID:10233964 | PMCID:PMC112546","pubmed","10233964","create date:1999/05/11 | first author:Yadani FZ",
"Disease prevention and preparedness: the Food and Agriculture Organization Emergency Prevention System.","/pubmed/10190209","Cheneau Y, Roeder PL, Obi TU, Rweyemamu MM, Benkirane A, Wojciechowski KJ.","Rev Sci Tech. 1999 Apr;18(1):122-34. Review.","Rev Sci Tech.  1999","PubMed","citation","PMID:10190209","pubmed","10190209","create date:1999/04/06 | first author:Cheneau Y",
"Disease prevention and preparedness in cases of animal health emergencies in the Middle East.","/pubmed/10190206","Shimshony A.","Rev Sci Tech. 1999 Apr;18(1):66-75. Review.","Rev Sci Tech.  1999","PubMed","citation","PMID:10190206","pubmed","10190206","create date:1999/04/06 | first author:Shimshony A",
"Dealing with animal disease emergencies in Africa: prevention and preparedness.","/pubmed/10190205","Roeder PL, Masiga WN, Rossiter PB, Paskin RD, Obi TU.","Rev Sci Tech. 1999 Apr;18(1):59-65.","Rev Sci Tech.  1999","PubMed","citation","PMID:10190205","pubmed","10190205","create date:1999/04/06 | first author:Roeder PL",
"Origin of 1997-98 Rift Valley fever outbreak in East Africa.","/pubmed/9843109","Sall AA, de A Zanotto PM, Vialat P, Sene OK, Bouloy M.","Lancet. 1998 Nov 14;352(9140):1596-7. No abstract available. ","Lancet.  1998","PubMed","citation","PMID:9843109","pubmed","9843109","create date:1998/12/08 | first author:Sall AA",
"Effect of environmental temperature on the susceptibility of Culex pipiens (Diptera: Culicidae) to Rift Valley fever virus.","/pubmed/9835680","Brubaker JF, Turell MJ.","J Med Entomol. 1998 Nov;35(6):918-21.","J Med Entomol.  1998","PubMed","citation","PMID:9835680","pubmed","9835680","create date:1998/12/04 | first author:Brubaker JF",
"Molecular epidemiology and emergence of Rift Valley fever.","/pubmed/9830526","Sall AA, Zanotto PM, Vialat P, Sène OK, Bouloy M.","Mem Inst Oswaldo Cruz. 1998 Sep-Oct;93(5):609-14.","Mem Inst Oswaldo Cruz.  1998","PubMed","citation","PMID:9830526","pubmed","9830526","create date:1998/11/27 | first author:Sall AA",
"The prevalence of antibody to the viruses of bovine virus diarrhoea, bovine herpes virus 1, rift valley fever, ephemeral fever and bluetongue and to Leptospira sp in free-ranging wildlife in Zimbabwe.","/pubmed/9825798","Anderson EC, Rowe LW.","Epidemiol Infect. 1998 Oct;121(2):441-9.","Epidemiol Infect.  1998","PubMed","citation","PMID:9825798 | PMCID:PMC2809544","pubmed","9825798","create date:1998/11/24 | first author:Anderson EC",
"First recorded outbreak of yellow fever in Kenya, 1992-1993. II. Entomologic investigations.","/pubmed/9790447","Reiter P, Cordellier R, Ouma JO, Cropp CB, Savage HM, Sanders EJ, Marfin AA, Tukei PM, Agata NN, Gitau LG, Rapuoda BA, Gubler DJ.","Am J Trop Med Hyg. 1998 Oct;59(4):650-6.","Am J Trop Med Hyg.  1998","PubMed","citation","PMID:9790447","pubmed","9790447","create date:1998/10/28 | first author:Reiter P",
"First recorded outbreak of yellow fever in Kenya, 1992-1993. I. Epidemiologic investigations.","/pubmed/9790446","Sanders EJ, Marfin AA, Tukei PM, Kuria G, Ademba G, Agata NN, Ouma JO, Cropp CB, Karabatsos N, Reiter P, Moore PS, Gubler DJ.","Am J Trop Med Hyg. 1998 Oct;59(4):644-9.","Am J Trop Med Hyg.  1998","PubMed","citation","PMID:9790446","pubmed","9790446","create date:1998/10/28 | first author:Sanders EJ",
"An outbreak of Rift Valley Fever, eastern Africa, 1997-1998.","/pubmed/9659789","[No authors listed]","Can Commun Dis Rep. 1998 Jun 15;24(12):101-4. English, French.  No abstract available. ","Can Commun Dis Rep.  1998","PubMed","citation","PMID:9659789","pubmed","9659789","create date:1998/07/11",
"Recent infectious disease outbreaks in Kenya: have we been caught unaware?","/pubmed/9640823","McLigeyo SO.","East Afr Med J. 1998 Feb;75(2):61-2. Review. No abstract available. ","East Afr Med J.  1998","PubMed","citation","PMID:9640823","pubmed","9640823","create date:1998/06/26 | first author:McLigeyo SO",
"New vectors of Rift Valley fever in West Africa.","/pubmed/9621201","Fontenille D, Traore-Lamizana M, Diallo M, Thonnon J, Digoutte JP, Zeller HG.","Emerg Infect Dis. 1998 Apr-Jun;4(2):289-93.","Emerg Infect Dis.  1998","PubMed","citation","PMID:9621201 | PMCID:PMC2640145","pubmed","9621201","create date:1998/06/11 | first author:Fontenille D",
"An outbreak of Rift Valley Fever, eastern Africa, 1997-1998.","/pubmed/9577708","[No authors listed]","Wkly Epidemiol Rec. 1998 Apr 10;73(15):105-9. English, French.  No abstract available. ","Wkly Epidemiol Rec.  1998","PubMed","citation","PMID:9577708","pubmed","9577708","create date:1998/05/13",
"Rift Valley Fever--East Africa, 1997-1998.","/pubmed/9565487","Centers for Disease Control and Prevention (CDC).","MMWR Morb Mortal Wkly Rep. 1998 Apr 10;47(13):261-4.","MMWR Morb Mortal Wkly Rep.  1998","PubMed","citation","PMID:9565487","pubmed","9565487","create date:1998/05/06 | first author:Centers for Disease Control and Prevention (CDC)",
"[Dengue, arbovirus and migrations in the Indian Ocean].","/pubmed/9559164","Zeller HG.","Bull Soc Pathol Exot. 1998;91(1):56-60. Review. French. ","Bull Soc Pathol Exot.  1998","PubMed","citation","PMID:9559164","pubmed","9559164","create date:1998/04/29 | first author:Zeller HG",
